iter 3500/160000: loss=0.36072 grad_norm=3.8113 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 3550/160000: loss=0.90642 grad_norm=14.8524 seconds_per_update=0.225 peak_gpu_gb=4.34
iter 3600/160000: loss=0.15697 grad_norm=8.1209 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 3650/160000: loss=0.34563 grad_norm=2.8010 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 3700/160000: loss=0.43686 grad_norm=6.9927 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 3750/160000: loss=0.24325 grad_norm=1.0143 seconds_per_update=0.224 peak_gpu_gb=4.34
iter 3800/160000: loss=0.38418 grad_norm=2.3459 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 3850/160000: loss=0.40067 grad_norm=1.3408 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 3900/160000: loss=0.11816 grad_norm=0.9113 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 3950/160000: loss=0.12247 grad_norm=0.5634 seconds_per_update=0.223 peak_gpu_gb=4.34
iter 4000/160000: loss=0.30797 grad_norm=2.5713 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 4050/160000: loss=0.39637 grad_norm=6.0547 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 4100/160000: loss=0.36646 grad_norm=3.1101 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 4150/160000: loss=0.32528 grad_norm=5.3348 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 4200/160000: loss=0.40877 grad_norm=2.9777 seconds_per_update=0.222 peak_gpu_gb=4.34
iter 4250/160000: loss=0.22147 grad_norm=1.9106 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4300/160000: loss=0.45351 grad_norm=19.7154 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4350/160000: loss=0.29687 grad_norm=1.0993 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4400/160000: loss=0.49549 grad_norm=3.4146 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4450/160000: loss=0.08199 grad_norm=5.6243 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4500/160000: loss=0.41710 grad_norm=6.2423 seconds_per_update=0.221 peak_gpu_gb=4.34
iter 4550/160000: loss=0.15304 grad_norm=1.6048 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4600/160000: loss=0.17454 grad_norm=2.9674 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4650/160000: loss=0.63132 grad_norm=15.2172 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4700/160000: loss=0.70475 grad_norm=11.8673 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4750/160000: loss=0.16169 grad_norm=0.8235 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4800/160000: loss=0.25686 grad_norm=4.3383 seconds_per_update=0.220 peak_gpu_gb=4.34
iter 4850/160000: loss=0.19522 grad_norm=4.1360 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 4900/160000: loss=0.39239 grad_norm=4.2804 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 4950/160000: loss=0.18773 grad_norm=0.6644 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5000/160000: loss=0.21511 grad_norm=1.1425 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5050/160000: loss=0.23578 grad_norm=7.9269 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5100/160000: loss=0.10575 grad_norm=2.7529 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5150/160000: loss=0.23354 grad_norm=7.2579 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5200/160000: loss=1.01057 grad_norm=7.6157 seconds_per_update=0.219 peak_gpu_gb=4.34
iter 5250/160000: loss=0.49769 grad_norm=12.7708 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5300/160000: loss=0.33687 grad_norm=3.2023 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5350/160000: loss=0.18815 grad_norm=4.0612 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5400/160000: loss=0.20375 grad_norm=2.3189 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5450/160000: loss=0.37405 grad_norm=5.5953 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5500/160000: loss=0.31683 grad_norm=2.3510 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5550/160000: loss=0.35727 grad_norm=2.6731 seconds_per_update=0.218 peak_gpu_gb=4.34
iter 5600/160000: loss=0.31567 grad_norm=5.4441 seconds_per_update=0.218 peak_gpu_gb=4.34
{"iter": 5600, "mIoU": 0.6758884787559509, "per_class_iou": {"1": 0.5329272150993347, "2": 0.7847668528556824, "3": 0.6816616654396057, "4": 0.8054953813552856, "5": 0.36671045422554016, "6": 0.8364230394363403, "7": 0.7075650691986084, "8": 0.6915583610534668}, "confusion": [[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 118055805, 23176109, 14100114, 3078828, 5132516, 20182438, 12179248, 886131], [0, 5348123, 125653172, 369183, 433674, 438266, 603442, 187156, 105200], [0, 6308331, 666208, 53179469, 19450, 33803, 873645, 442974, 366735], [0, 1056660, 9139, 85964, 36992366, 102147, 321038, 1430092, 69], [0, 1535872, 60840, 23602, 83329, 5550911, 193461, 1341953, 0], [0, 7822894, 2854227, 1393812, 1750711, 391890, 201727321, 1930025, 120405], [0, 2508294, 77910, 10428, 561530, 248450, 951839, 52915640, 0], [0, 151961, 132612, 140747, 0, 0, 61459, 0, 4406450]]}
